term,label
ancient cell,0
cosmic atomic book,0
linguistic marine erosion,1
neural house,0
tropical measurement,1
subterranean computation,1
lunar genetic measurement,1
cellular protein,0
marine hydraulic melting,1
tropical island,0
artificial translation,1
atomic leaf,0
organic healing,1
biological melting,1
hydraulic wheel,0
mechanical construction,1
rural table,0
geological healing,1
tropical lunar training,1
ancient tropical electron,0
rural rock,0
digital glove,0
radiant atomic guitar,0
rapid flight,1
chemical vocal heart,0
vocal explosion,1
industrial electronic fish,0
magnetic bone,0
magnetic skull,0
cultural cellular island,0
neural linguistic healing,1
blue bone,0
linguistic vocal protein,0
ancient charging,1
blue talking,1
vocal chemical reproduction,1
computation,1
rapid rural mountain range,0
urban river,0
genetic dance,1
ancient neural computation,1
artificial tissue,0
painting,0
atomic thinking,1
blue biological car,0
electronic musical oxidation,1
structural bridge,0
vocal illumination,1
bridge,0
aerial translation,1
urban mountain range,0
chemical engine,0
cellular plastic building,0
vocal atomic island,0
urban rotation,1
rural sleep,1
thermal solar protein,0
plastic electronic reaction,1
lunar painting,0
digital building,0
genetic writing,1
cosmic training,1
muscle,0
political atomic ship,0
organic social exercise,1
biological city,0
vocal hydraulic dance,1
electronic thinking,1
political sleeping,1
ancient digestion,1
marine genetic statue,0
geological artificial bridge,0
hydraulic computation,1
cellular city,0
industrial atomic breathing,1
environmental house,0
political rotation,1
marine helmet,0
mechanical decay,1
geological eating,1
geological meeting,1
organic linguistic furniture,0
cultural training,1
robotic oxidation,1
mechanical bottle,0
rapid bone,0
house,0
social construction,1
artificial mountain range,0
symbolic tropical running,1
cellular talking,1
neural running,1
geological ship,0
radiant plastic exercise,1
biological lunar cooking,1
environmental statue,0
musical growth,1
blue measurement,1
cellular communication,1
lunar thinking,1
organism,0
book,0
aerial forest,0
social measurement,1
solar translation,1
vocal leaf,0
thermal neural car,0
musical subterranean decay,1
environmental digital wheel,0
aerial movement,1
training,1
rural vocal walking,1
vocal thermal house,0
robotic cultural city,0
vocal coat,0
electronic brain,0
industrial rural communication,1
cosmic skull,0
marine person,0
biological biological birth,1
linguistic charging,1
genetic growth,1
symbolic artificial growth,1
conversation,1
environmental digital helmet,0
rural charging,1
ancient healing,1
chemical painting,0
industrial house,0
electronic linguistic river,0
radiant mirror,0
rural radiant wheel,0
marine collapse,1
radiant artificial translation,1
vocal electronic computation,1
artificial cultural translation,1
environmental tropical writing,1
plastic reaction,1
chemical artificial chair,0
cultural atom,0
symbolic cell,0
subterranean infection,1
symbolic rotation,1
geological metal,0
ancient ocean,0
urban wheel,0
radiant running,1
subterranean bird,0
symbolic evaporation,1
symbolic genetic collapse,1
environmental competition,1
hydraulic structural meeting,1
neural mechanical house,0
rapid collapse,1
island,0
cell,0
biological mountain,0
electronic neural exercise,1
cellular mechanical island,0
subterranean sleep,1
birth,1
tropical industrial car,0
industrial painting,0
subterranean birth,1
plastic construction,1
blue competition,1
subterranean helmet,0
biological sand,0
magnetic tool,0
genetic coat,0
rural rapid speaking,1
solar tropical ship,0
atomic healing,1
environmental atom,0
atomic chemical transport,1
industrial electron,0
cosmic linguistic bird,0
thermal muscle,0
cultural shoe,0
chemical melting,1
geological birth,1
machine,0
organic translation,1
blue tropical glove,0
mechanical tissue,0
neural genetic car,0
rural thinking,1
biological social sleep,1
organic talking,1
political symbolic plant,0
aerial leaf,0
plastic social communication,1
linguistic transport,1
cultural solar helmet,0
neural conversation,1
social explosion,1
atomic breathing,1
rural communication,1
biological neural singing,1
plastic tissue,0
cellular ship,0
magnetic aerial machine,0
industrial bottle,0
rapid biological electron,0
mechanical reaction,1
digital translation,1
environmental muscle,0
atomic coat,0
tropical migration,1
neural thermal cell,0
decision,1
lunar tree,0
thinking,1
radiant talking,1
organic wheel,0
cultural ocean,0
cosmic mechanical growth,1
cosmic wheel,0
plastic bridge,0
plastic running,1
political writing,1
cosmic atom,0
political electron,0
symbolic decay,1
artificial collision,1
thermal guitar,0
biological pipe,0
thermal environmental sleep,1
social helmet,0
subterranean island,0
cultural chair,0
environmental bottle,0
mechanical chemical running,1
organic protein,0
musical falling,1
social ancient heart,0
urban marine falling,1
aerial cellular rotation,1
blue urban flower,0
magnetic ocean,0
marine mechanical birth,1
digestion,1
structural tool,0
organic training,1
linguistic computation,1
magnetic metal,0
oxidation,1
digital urban shoe,0
artificial aerial singing,1
atomic tissue,0
industrial explosion,1
atomic infection,1
cellular painting,0
neural sand,0
hydraulic electronic decision,1
cellular linguistic brain,0
rural bird,0
radiant artificial exercise,1
vocal electron,0
organic chemical coin,0
chemical coat,0
radiant cosmic muscle,0
thermal oxidation,1
biological lunar island,0
rapid heart,0
cultural geological measurement,1
cellular planet,0
rural artificial reading,1
cosmic communication,1
heart,0
radiant evaporation,1
hydraulic transport,1
thermal cloud,0
robotic decision,1
subterranean healing,1
tropical wheel,0
construction,1
sleep,1
cellular thermal coin,0
rapid construction,1
organic migration,1
biological cosmic cloud,0
subterranean oxidation,1
biological helmet,0
hydraulic hydraulic plant,0
robotic bone,0
plastic person,0
thermal computer,0
magnetic cellular collapse,1
ancient illumination,1
environmental linguistic cell,0
digital decay,1
artificial helmet,0
atomic lunar rock,0
mechanical erosion,1
digital aerial training,1
shoe,0
ancient falling,1
chemical mechanical talking,1
linguistic machine,0
marine geological healing,1
biological painting,0
thermal statue,0
rural ocean,0
chemical valve,0
cultural collision,1
industrial digestion,1
digital competition,1
ancient hydraulic sand,0
solar lunar painting,0
cultural vocal skull,0
digital sleeping,1
soil,0
radiant movement,1
symbolic valve,0
plastic hydraulic birth,1
genetic mechanical statue,0
cultural translation,1
aerial guitar,0
chemical rapid forest,0
thermal sand,0
thermal genetic melting,1
cellular digital singing,1
hydraulic river,0
environmental solar cooking,1
symbolic musical ocean,0
solar plant,0
thermal organic coat,0
political linguistic guitar,0
lunar muscle,0
lunar person,0
engine,0
thermal cooking,1
electronic melting,1
cosmic leaf,0
rapid ancient guitar,0
tropical electron,0
ancient talking,1
linguistic singing,1
artificial breathing,1
lunar pipe,0
neural social brain,0
industrial brain,0
mechanical reading,1
blue exercise,1
symbolic guitar,0
cultural table,0
electronic structural fish,0
political forest,0
musical decay,1
artificial skull,0
blue environmental shoe,0
organic rotation,1
blue mountain range,0
cultural flight,1
chemical blue conversation,1
genetic digestion,1
lunar ship,0
mechanical conversation,1
genetic genetic growth,1
neural measurement,1
plastic machine,0
neural flight,1
cellular structural training,1
cultural running,1
neural plastic movement,1
robotic protein,0
rural geological decay,1
political walking,1
rural singing,1
rural transport,1
neural building,0
fish,0
digital rapid computation,1
organic pipe,0
social car,0
genetic fish,0
biological lunar muscle,0
chemical plant,0
plastic infection,1
rural environmental leaf,0
cellular chair,0
magnetic valve,0
geological book,0
digital neural collapse,1
marine leaf,0
robotic social computer,0
political subterranean brain,0
aerial falling,1
aerial exercise,1
biological political war,1
industrial forest,0
structural reaction,1
organic measurement,1
environmental cloud,0
vocal industrial helmet,0
subterranean thinking,1
environmental protein,0
cultural planet,0
geological war,1
industrial sand,0
symbolic aerial chair,0
bottle,0
solar tissue,0
atomic cell,0
aerial running,1
cosmic brain,0
chemical aerial leaf,0
linguistic writing,1
tropical table,0
thermal illumination,1
thermal city,0
hydraulic collapse,1
organic digestion,1
electronic collapse,1
environmental cooking,1
cultural reproduction,1
chemical electron,0
aerial glove,0
subterranean leaf,0
vocal mechanical skull,0
blue social reaction,1
hydraulic reading,1
plastic healing,1
cultural communication,1
neural melting,1
magnetic flight,1
vocal fish,0
aerial sand,0
radiant collision,1
hydraulic plant,0
robotic environmental bottle,0
plastic biological writing,1
linguistic industrial protein,0
symbolic flower,0
artificial statue,0
magnetic genetic training,1
musical cosmic collapse,1
mechanical cosmic knife,0
organic blue growth,1
plastic metal,0
lunar meeting,1
magnetic lunar ship,0
hydraulic decay,1
symbolic collapse,1
geological digestion,1
cultural thinking,1
marine musical reading,1
chemical robotic electron,0
electronic growth,1
vocal pipe,0
vocal movement,1
magnetic hydraulic city,0
urban machine,0
social urban growth,1
ancient flower,0
rural movement,1
linguistic reaction,1
environmental storm,1
structural competition,1
solar biological glove,0
biological artificial sleep,1
tropical atomic growth,1
chemical environmental bone,0
genetic mechanical sleeping,1
robotic tropical road,0
radiant exercise,1
marine cooking,1
cellular reaction,1
magnetic vocal storm,1
cosmic translation,1
chemical healing,1
environmental cell,0
blue painting,0
industrial communication,1
genetic car,0
ancient eating,1
neural thermal healing,1
thermal geological flight,1
cosmic breathing,1
industrial neural river,0
digital vocal electron,0
mountain,0
mechanical measurement,1
urban soil,0
aerial linguistic explosion,1
blue bridge,0
digital walking,1
chemical measurement,1
marine reproduction,1
ancient construction,1
genetic organic evaporation,1
geological erosion,1
subterranean mountain,0
musical cloud,0
chemical mountain,0
robotic urban glove,0
biological rural mirror,0
cellular charging,1
organic musical war,1
mechanical reproduction,1
genetic falling,1
cultural radiant mirror,0
magnetic thinking,1
mechanical melting,1
artificial healing,1
digital melting,1
artificial cooking,1
linguistic bridge,0
digital metal,0
urban coin,0
artificial mechanical competition,1
cellular computation,1
structural migration,1
solar digestion,1
chemical artificial exercise,1
blue genetic road,0
linguistic geological communication,1
magnetic conversation,1
cellular knife,0
organic bone,0
symbolic competition,1
robotic electron,0
political ship,0
vocal sleeping,1
chemical cellular tool,0
organic skull,0
thermal artificial erosion,1
organic road,0
solar blue cell,0
linguistic rotation,1
lunar engine,0
plastic charging,1
thermal marine rock,0
rural mechanical eating,1
environmental dance,1
mechanical environmental collapse,1
social urban electron,0
cultural digestion,1
geological explosion,1
organic helmet,0
atomic collision,1
vocal construction,1
electronic painting,0
radiant walking,1
digital computer,0
ancient marine engine,0
plastic tropical evaporation,1
neural digestion,1
structural collision,1
lunar mechanical bridge,0
cellular exercise,1
sand,0
guitar,0
structural thinking,1
robotic sleeping,1
genetic lunar atom,0
biological thinking,1
political soil,0
political bird,0
environmental neural furniture,0
blue machine,0
radiant erosion,1
structural oxidation,1
social cloud,0
symbolic communication,1
helmet,0
environmental desk,0
geological translation,1
aerial competition,1
symbolic reading,1
blue mountain,0
thermal mountain range,0
solar thermal movement,1
organic cooking,1
solar eating,1
artificial artificial rock,0
digital neural valve,0
social healing,1
chemical thermal bridge,0
neural rural erosion,1
linguistic reading,1
musical skull,0
digital aerial breathing,1
blue knife,0
geological linguistic valve,0
ancient measurement,1
social organism,0
cultural vocal river,0
cosmic urban sleeping,1
biological blue walking,1
organic digital reading,1
cooking,1
blue chair,0
rapid reaction,1
thermal house,0
atomic marine ship,0
blue shoe,0
thermal rotation,1
atomic sleep,1
neural musical collision,1
cosmic fish,0
organic digital bridge,0
mechanical symbolic valve,0
marine organism,0
organic reproduction,1
solar cell,0
digital atomic bottle,0
vocal erosion,1
marine mountain,0
lunar organism,0
genetic organism,0
symbolic car,0
mechanical storm,1
mechanical tree,0
robotic collision,1
radiant atomic tree,0
cultural fish,0
blue bottle,0
cosmic collapse,1
lunar rural coat,0
thermal falling,1
lunar rural infection,1
plastic measurement,1
subterranean reaction,1
artificial exercise,1
social tool,0
rural illumination,1
valve,0
social structural computation,1
rapid thermal talking,1
digital exercise,1
magnetic hydraulic computation,1
magnetic sleeping,1
robotic forest,0
aerial bone,0
rapid organic painting,0
artificial brain,0
subterranean plastic city,0
marine atomic mountain range,0
rapid war,1
ancient musical infection,1
ancient metal,0
hydraulic environmental house,0
environmental organic breathing,1
subterranean bridge,0
rapid reproduction,1
lunar mechanical mountain,0
industrial city,0
blue industrial desk,0
artificial atomic charging,1
lunar falling,1
vocal guitar,0
artificial subterranean bridge,0
lunar running,1
cellular rock,0
symbolic social competition,1
lunar statue,0
radiant breathing,1
organic guitar,0
political blue forest,0
desk,0
urban plastic heart,0
cosmic machine,0
artificial transport,1
industrial sleep,1
ancient heart,0
atomic flower,0
musical flight,1
blue fish,0
exercise,1
cosmic melting,1
linguistic lunar ocean,0
artificial decision,1
ancient rotation,1
biological cellular helmet,0
tropical skull,0
magnetic cosmic wheel,0
electronic decision,1
electron,0
musical digital running,1
blue melting,1
lunar computer,0
chemical talking,1
plastic valve,0
lunar social breathing,1
social growth,1
urban ancient tissue,0
urban artificial computer,0
radiant structural cooking,1
coin,0
war,1
lunar neural melting,1
tropical speaking,1
cellular tropical conversation,1
social fish,0
musical biological fish,0
neural city,0
computer,0
chemical sand,0
chemical cooking,1
lunar biological walking,1
glove,0
ancient organism,0
organic magnetic person,0
geological bone,0
radiant symbolic ship,0
organic artificial pipe,0
rural protein,0
chemical knife,0
geological collapse,1
lunar eating,1
linguistic measurement,1
electronic heart,0
rural radiant coat,0
social migration,1
cosmic linguistic storm,1
political collision,1
thermal ship,0
industrial ocean,0
cellular bridge,0
chemical brain,0
geological political conversation,1
aerial magnetic forest,0
tropical plastic birth,1
mechanical book,0
linguistic talking,1
neural metal,0
chair,0
linguistic plastic bridge,0
vocal house,0
plant,0
rapid coat,0
cosmic cellular painting,0
robotic construction,1
lunar political brain,0
environmental tropical digestion,1
linguistic robotic cloud,0
cosmic rapid pipe,0
chemical marine breathing,1
industrial vocal statue,0
organic structural fish,0
organic birth,1
chemical musical bottle,0
solar charging,1
dance,1
geological brain,0
urban plant,0
robotic organism,0
blue road,0
artificial building,0
artificial engine,0
blue island,0
geological subterranean coat,0
hydraulic biological storm,1
marine social walking,1
brain,0
musical subterranean charging,1
rural coin,0
magnetic thermal charging,1
forest,0
mechanical digestion,1
industrial person,0
plastic melting,1
lunar computation,1
cellular construction,1
symbolic oxidation,1
mechanical computation,1
hydraulic breathing,1
mechanical linguistic migration,1
marine construction,1
neural cloud,0
hydraulic rapid sleeping,1
thermal organism,0
cultural eating,1
neural aerial charging,1
chemical statue,0
mechanical electronic cloud,0
geological conversation,1
cultural tissue,0
cosmic shoe,0
biological bridge,0
hydraulic electron,0
structural exercise,1
artificial road,0
cosmic healing,1
atomic tree,0
neural eating,1
cosmic singing,1
rural atomic pipe,0
cultural storm,1
electronic electronic book,0
linguistic guitar,0
plastic car,0
neural desk,0
vocal meeting,1
thermal electronic river,0
linguistic leaf,0
solar person,0
symbolic chair,0
knife,0
industrial tool,0
solar bird,0
electronic engine,0
tropical tool,0
environmental computer,0
organic building,0
environmental construction,1
geological bottle,0
social knife,0
cosmic growth,1
social radiant glove,0
cosmic structural road,0
hydraulic building,0
robotic mechanical construction,1
skull,0
political plastic mountain,0
aerial computer,0
eating,1
vocal tool,0
symbolic muscle,0
genetic vocal atom,0
plastic translation,1
geological soil,0
chemical breathing,1
atomic planet,0
tropical radiant knife,0
musical chair,0
tropical heart,0
social table,0
genetic migration,1
aerial singing,1
chemical speaking,1
organic charging,1
mechanical painting,0
cultural industrial erosion,1
robotic sleep,1
social transport,1
electronic coin,0
solar book,0
plastic communication,1
hydraulic plastic melting,1
cellular leaf,0
artificial reaction,1
social rock,0
magnetic speaking,1
geological rotation,1
symbolic shoe,0
tropical metal,0
cultural mirror,0
geological statue,0
robotic wheel,0
genetic ship,0
rapid painting,0
biological desk,0
rapid plastic plant,0
plastic subterranean ocean,0
radiant organic metal,0
musical decision,1
ancient sleeping,1
urban skull,0
subterranean reading,1
rapid oxidation,1
hydraulic collision,1
political political running,1
musical meeting,1
organic speaking,1
mountain range,0
cultural political training,1
marine linguistic rock,0
cellular explosion,1
thermal meeting,1
blue person,0
digital flower,0
biological thermal collapse,1
cosmic guitar,0
environmental mechanical metal,0
linguistic brain,0
symbolic speaking,1
musical bottle,0
ancient rock,0
mechanical migration,1
environmental birth,1
thermal artificial collision,1
musical lunar mountain range,0
genetic marine reproduction,1
digital electronic mountain range,0
geological exercise,1
musical fish,0
cosmic linguistic competition,1
vocal metal,0
cosmic protein,0
digital bird,0
ancient rapid speaking,1
cosmic meeting,1
digital mountain range,0
mechanical communication,1
vocal symbolic rotation,1
urban mountain,0
environmental cultural engine,0
urban conversation,1
organic valve,0
solar guitar,0
neural marine decay,1
cultural reaction,1
digital protein,0
linguistic movement,1
biological genetic sleep,1
tropical computation,1
ancient cloud,0
ancient infection,1
vocal competition,1
thermal training,1
mechanical mirror,0
solar cellular protein,0
mechanical environmental bone,0
communication,1
vocal rotation,1
biological marine flight,1
political healing,1
rural social ocean,0
mechanical mountain,0
cosmic illumination,1
melting,1
electronic geological decay,1
thermal solar evaporation,1
cultural solar measurement,1
cosmic radiant speaking,1
solar industrial statue,0
digital social reaction,1
structural chair,0
robotic falling,1
vocal mirror,0
digital speaking,1
cultural computation,1
structural table,0
genetic cosmic sand,0
wheel,0
industrial transport,1
social wheel,0
aerial eating,1
rapid reading,1
musical desk,0
genetic plant,0
organic eating,1
electronic rotation,1
solar heart,0
digital magnetic metal,0
rapid symbolic desk,0
aerial birth,1
subterranean environmental organism,0
lunar structural growth,1
electronic explosion,1
solar organic translation,1
cosmic rotation,1
industrial talking,1
musical neural table,0
digital reading,1
vocal breathing,1
organic evaporation,1
robotic thinking,1
plastic tool,0
genetic linguistic sand,0
mechanical rural wheel,0
structural organism,0
lunar thermal translation,1
lunar sleeping,1
blue walking,1
social cellular conversation,1
magnetic walking,1
mechanical tool,0
walking,1
electronic book,0
robotic robotic communication,1
industrial cooking,1
tropical geological ship,0
electronic charging,1
robotic rotation,1
rapid rural singing,1
neural ocean,0
hydraulic explosion,1
industrial atom,0
musical statue,0
magnetic sand,0
solar reading,1
musical car,0
tropical musical cooking,1
urban talking,1
cosmic robotic training,1
biological writing,1
structural musical dance,1
structural construction,1
chemical vocal tool,0
artificial digital transport,1
subterranean collapse,1
atomic measurement,1
electronic statue,0
electronic urban knife,0
solar protein,0
tropical fish,0
urban growth,1
mechanical coin,0
solar valve,0
solar bottle,0
cosmic cooking,1
atomic furniture,0
organic bottle,0
political measurement,1
structural helmet,0
genetic storm,1
digital electronic organism,0
social genetic walking,1
electronic migration,1
environmental social erosion,1
coat,0
magnetic table,0
symbolic singing,1
geological vocal communication,1
subterranean illumination,1
political fish,0
lunar atom,0
organic coat,0
aerial decision,1
chemical reproduction,1
aerial statue,0
rapid vocal migration,1
digital transport,1
structural transport,1
rapid healing,1
plastic guitar,0
robotic bottle,0
musical dance,1
hydraulic geological mountain range,0
organic forest,0
chemical movement,1
organic mirror,0
social falling,1
cultural road,0
subterranean digestion,1
robotic birth,1
marine walking,1
magnetic structural transport,1
cultural symbolic tissue,0
organic metal,0
genetic competition,1
musical metal,0
robotic rapid muscle,0
environmental planet,0
neural subterranean decay,1
atomic fish,0
digital heart,0
vocal tissue,0
social thermal charging,1
magnetic cultural reaction,1
structural building,0
industrial marine charging,1
thermal talking,1
symbolic hydraulic infection,1
cellular tissue,0
cellular hydraulic flower,0
electronic lunar furniture,0
symbolic walking,1
genetic ocean,0
symbolic tissue,0
speaking,1
writing,1
atomic erosion,1
symbolic genetic flight,1
reproduction,1
social leaf,0
structural vocal communication,1
vocal healing,1
political mountain range,0
atomic cosmic table,0
linguistic mirror,0
structural reading,1
organic muscle,0
atomic organic falling,1
electronic vocal exercise,1
rapid walking,1
social protein,0
subterranean tropical painting,0
environmental valve,0
tropical ocean,0
geological storm,1
aerial valve,0
genetic oxidation,1
digital biological cell,0
vocal subterranean chair,0
protein,0
chemical robotic thinking,1
rapid sleeping,1
radiant tropical coin,0
neural glove,0
flight,1
blue healing,1
political vocal breathing,1
hydraulic rapid coin,0
biological computation,1
geological cultural war,1
radiant muscle,0
blue forest,0
hydraulic running,1
organic shoe,0
hydraulic solar writing,1
mechanical environmental storm,1
subterranean furniture,0
chemical subterranean metal,0
atomic wheel,0
chemical artificial guitar,0
ancient vocal building,0
environmental magnetic knife,0
organic tropical meeting,1
genetic bird,0
genetic coin,0
urban industrial coat,0
ancient soil,0
cellular vocal bird,0
blue flower,0
aerial meeting,1
vocal rural city,0
bone,0
ancient brain,0
social electron,0
atomic soil,0
artificial walking,1
geological city,0
tropical oxidation,1
political translation,1
electronic healing,1
aerial coat,0
marine statue,0
solar organism,0
atomic marine cooking,1
geological magnetic computation,1
blue reading,1
chemical helmet,0
neural solar mirror,0
blue digital decision,1
organic chemical conversation,1
political melting,1
plastic knife,0
chemical collision,1
musical robotic transport,1
lunar mirror,0
solar artificial flight,1
geological linguistic talking,1
solar oxidation,1
tropical cellular tissue,0
explosion,1
rapid soil,0
electronic helmet,0
aerial breathing,1
biological training,1
organic rock,0
table,0
aerial protein,0
blue birth,1
vocal biological conversation,1
political metal,0
thermal social sand,0
vocal subterranean mirror,0
evaporation,1
genetic communication,1
biological tool,0
symbolic transport,1
musical aerial rotation,1
rapid table,0
cultural desk,0
solar rotation,1
political urban falling,1
robotic war,1
vocal desk,0
artificial machine,0
rotation,1
structural mountain,0
solar structural collision,1
blue wheel,0
digital helmet,0
neural magnetic dance,1
political engine,0
chemical tree,0
artificial charging,1
marine radiant communication,1
linguistic digestion,1
vocal evaporation,1
organic tool,0
sleeping,1
urban atom,0
political glove,0
environmental magnetic reading,1
robotic painting,0
symbolic cosmic fish,0
electronic computer,0
hydraulic reproduction,1
healing,1
atomic sand,0
cellular mountain range,0
tropical house,0
lunar dance,1
geological computer,0
rapid cultural city,0
hydraulic thermal transport,1
genetic statue,0
political cooking,1
ancient cellular flight,1
subterranean city,0
political explosion,1
collapse,1
cultural bone,0
cellular sleeping,1
subterranean cosmic walking,1
structural coin,0
political coin,0
plastic fish,0
cultural sleeping,1
rural thermal person,0
plastic decision,1
aerial rotation,1
thermal sleeping,1
plastic digestion,1
biological bird,0
solar painting,0
political robotic writing,1
plastic glove,0
electronic urban reading,1
atomic competition,1
rapid bird,0
ancient reproduction,1
artificial vocal migration,1
magnetic chair,0
cultural organic furniture,0
atomic translation,1
linguistic robotic cooking,1
thermal aerial digestion,1
musical protein,0
marine social statue,0
rural house,0
geological building,0
blue thermal falling,1
reading,1
subterranean coin,0
blue meeting,1
artificial bone,0
blue urban meeting,1
blue digital reproduction,1
plastic coin,0
linguistic mechanical dance,1
social conversation,1
cosmic chair,0
cosmic statue,0
mechanical competition,1
musical pipe,0
cultural plant,0
thermal leaf,0
social rural table,0
vocal structural thinking,1
social ship,0
blue collision,1
musical coat,0
urban tool,0
chemical bridge,0
ancient digital breathing,1
neural bone,0
thermal explosion,1
ship,0
digital magnetic communication,1
environmental machine,0
ancient evaporation,1
robotic leaf,0
radiant tool,0
cellular rotation,1
mechanical magnetic construction,1
geological walking,1
chemical meeting,1
cultural melting,1
solar digital reaction,1
solar rural eating,1
artificial plastic construction,1
lunar organic leaf,0
geological coat,0
plastic reproduction,1
neural magnetic road,0
blue war,1
political skull,0
